target	runtime	route	conn	rep	rps	p50_ms	p90_ms	p99_ms	total	success_pct	server_cores	client_cores	server_peak_rss_mb	loadavg	memavail_mb
node-http	node	/users/42	128	1	19656.45730593484	5.713	9.969	15.701	10.006584449	100.0	1.0072	1.5617	80.9	5.37	4472
node-http	node	/users/42	128	2	20778.54911704894	5.521	9.091	14.941	10.006762206	100.0	0.9975	1.6038	89.78	4.99	4433
express	node	/users/42	128	1	7415.654588166972	11.233	28.820	117.846	10.020423567	100.0	1.0068	1.0327	97.74	4.85	4267
express	node	/users/42	128	2	10811.88538335088	10.439	17.513	29.240	10.004823041	100.0	0.9962	1.0643	100.94	4.78	4470
fastify	node	/users/42	128	1	17642.906884507873	6.150	11.448	22.492	10.003680298	100.0	0.9965	1.3975	102.21	4.90	4147
fastify	node	/users/42	128	2	19659.773706114334	5.740	9.758	16.385	10.004743846	100.0	0.9901	1.3724	102.24	5.12	4050
bun-http	bun	/users/42	128	1	43313.940232349385	2.627	4.684	8.169	10.004469639	100.0	1.0053	2.0698	41.95	4.85	4427
bun-http	bun	/users/42	128	2	44332.60212143938	2.571	4.590	7.903	10.003946955	100.0	0.9971	2.1142	41.0	4.45	4550
elysia	bun	/users/42	128	1	46584.140664343475	2.404	4.413	8.360	10.004992973	100.0	1.0006	2.1304	52.22	4.34	4554
elysia	bun	/users/42	128	2	45891.37828329581	2.471	4.404	8.054	10.005692075	100.0	1.0037	2.1927	51.11	4.30	4587
ntex-w1	compio	/users/42	128	1	18182.44596999774	6.456	11.014	16.746	10.00684948	100.0	1.5357	1.0685	82.91	4.16	4498
ntex-w1	compio	/users/42	128	2	19061.61795882301	6.201	10.297	14.988	10.008436871	100.0	1.5608	1.145	87.25	4.12	4586
ntex-w4	compio	/users/42	128	1	29456.78812683836	3.769	7.659	13.395	10.010765557	100.0	2.8861	1.7243	113.55	5.19	4529
ntex-w4	compio	/users/42	128	2	29570.83640751788	3.715	7.740	13.301	10.014190871	100.0	2.9167	1.8031	116.51	5.75	4530
